Q,nflux,nflux_err,time,time_corr
1.0,1.00097358227,0.000305375666358,131.51281724,0.00182342005428
1.0,1.00087308884,0.000305443711113,131.533251736,0.0018242164515
1.0,1.00110948086,0.000305447960272,131.553686133,0.00182501261588
1.0,1.00066506863,0.00030544938636,131.574120429,0.00182580878027
1.0,1.00020992756,0.000305411231238,131.594554825,0.00182660482824
1.0,1.00080752373,0.000305357621983,131.614989321,0.00182740064338
1.0,1.00059449673,0.000305495283101,131.635423616,0.00182819645852
1.0,1.00079703331,0.000305283349007,131.655858012,0.00182899204083
1.0,1.00095677376,0.000305483030388,131.676292508,0.00182978762314
1.0,1.00062429905,0.000305502762785,131.696726903,0.00183058297262
1.0,1.00029945374,0.000305368565023,131.717161198,0.00183137832209
1.0,1.0001231432,0.000305453431793,131.737595593,0.00183217343874
1.0,1.00041592121,0.000305557798129,131.758030088,0.00183296843898
1.0,1.00065767765,0.000305455789203,131.778464383,0.00183376332279
1.0,1.00096976757,0.000305419962388,131.798898778,0.00183455820661
1.0,1.00104367733,0.000305547844619,131.819333273,0.0018353528576
1.0,1.00029289722,0.000305528315948,131.839767567,0.00183614739217
1.0,1.00063478947,0.000305557739921,131.860201962,0.00183694181032
1.0,1.0004529953,0.000305484310957,131.880636356,0.00183773599565
1.0,1.00066745281,0.000305585563183,131.90107075,0.00183853018098
1.0,1.0001527071,0.000305482768454,131.921505144,0.00183932424989
1.0,1.00088763237,0.000305500667309,131.941939538,0.00184011820238
1.0,1.00060236454,0.00030558128492,131.962373932,0.00184091192205
1.0,1.00071656704,0.000305578636471,131.982808326,0.00184170564171
1.0,1.0008341074,0.000305536377709,132.003242719,0.00184249912854
1.0,1.0008174181,0.000305575173115,132.023677012,0.00184329249896
1.0,1.00011944771,0.000305511202896,132.044111506,0.00184408586938
1.0,1.00049412251,0.000305573805235,132.064545899,0.00184487900697
1.0,1.00006484985,0.000305569876218,132.084980192,0.00184567202814
1.0,1.00039327145,0.000305509660393,132.105414585,0.0018464649329
1.0,0.999789178371,0.00030551533564,132.125849078,0.00184725772124
1.0,1.00027012825,0.000305501773255,132.14628337,0.00184805039316
1.0,0.999909758568,0.000305508845486,132.166717763,0.00184884294868
1.0,0.999619185925,0.000305472844047,132.187152255,0.00184963538777
1.0,0.999754190445,0.000305461144308,132.207586648,0.00185042771045
1.0,1.00042140484,0.000305583409499,132.22802094,0.0018512198003
1.0,0.999856054783,0.000305546622258,132.248455332,0.00185201189015
1.0,0.999804794788,0.000305569381453,132.268889824,0.00185280386358
1.0,0.999406278133,0.000305524561554,132.289324116,0.00185359560419
1.0,1.00018918514,0.000305572029902,132.309758507,0.00185438722838
1.0,0.99991184473,0.000305430905428,132.330192999,0.00185517873615
1.0,1.00031256676,0.000305581343127,132.35062729,0.00185597024392
1.0,1.00016367435,0.000305539142573,132.371061682,0.00185676151887
1.0,1.00033915043,0.000305560097331,132.391496073,0.00185755267739
1.0,1.00017845631,0.000305528083118,132.411930464,0.0018583437195
1.0,0.999363481998,0.00030550849624,132.432364855,0.0018591346452
1.0,0.999125003815,0.00030532895471,132.452799245,0.00185992533807
1.0,0.999683022499,0.000305501336697,132.473233736,0.00186071603093
1.0,0.999896466732,0.000305526889861,132.493668027,0.00186150660738
