#
# Info: list of 100 stars, as appearing on the repository 
# https://github.com/paztronomer/kepler_nonlinear_research
#

KIC
000757450
003967760
004263293
004644952
004725681
005185897
005272233
005351250
005371776
005640085
005706966
005791986
005794240
006037581
006382217
006428700
006587280
006948054
006949607
007134976
007303287
007440748
007455287
007509886
008120608
008150320
008277797
008505670
008564674
008612275
008616637
009020160
009412760
009471268
009480189
009489524
009595827
009775938
009836149
009909735
009963524
010002866
010328393
010489206
010656823
010978763
011709244
011754553
011773022
012302530
002438513
003128793
003326377
003734418
004035640
004049131
004055304
004056616
004144576
004346178
004552729
005080636
005088591
005184911
005436338
005526527
005953297
006061773
006586746
006599919
006867155
007045496
007047824
007428736
007609553
008142942
008229458
008360640
008591173
008832512
008956206
009278725
009334893
009336200
009353314
009455325
009597058
009872283
010190777
010388286
010454632
010657406
010973664
011030475
011410904
011414465
011670125
011760231
011818800
012156347
