Q,nflux,nflux_err,time,time_corr
1.0,1.00023686886,0.000284519628622,131.512929809,0.00193598889746
1.0,0.999545812607,0.000284511042992,131.533364348,0.00193682778627
1.0,0.999526679516,0.000284688634565,131.553798787,0.00193766667508
1.0,0.999446213245,0.000284570734948,131.574233125,0.00193850533105
1.0,0.999218285084,0.000284705660306,131.594667564,0.00193934387062
1.0,1.00003004074,0.00028477734304,131.615102102,0.00194018229377
1.0,1.0000679493,0.000284720241325,131.63553644,0.00194102048408
1.0,0.999739348888,0.000284605048364,131.655970879,0.0019418586744
1.0,0.999473392963,0.000284704496153,131.676405417,0.00194269663189
1.0,0.999445617199,0.000284751178697,131.696839855,0.00194353458937
1.0,0.999465107918,0.000284774927422,131.717274192,0.00194437219761
1.0,0.999172866344,0.000284770212602,131.73770863,0.00194520980585
1.0,0.999765217304,0.000284828885924,131.758143167,0.00194604729768
1.0,0.999757289886,0.000284723704681,131.778577505,0.00194688467309
1.0,0.999161243439,0.000284767214907,131.799011942,0.00194772181567
1.0,0.999772012234,0.000284698413452,131.819446479,0.00194855884183
1.0,0.999007880688,0.000284773384919,131.839880816,0.00194939575158
1.0,0.999466478825,0.000284716574242,131.860315253,0.00195023254491
1.0,0.999533355236,0.000284824986011,131.880749689,0.00195106910542
1.0,0.999780416489,0.000284807843855,131.901184126,0.00195190566592
1.0,0.999940156937,0.000284816342173,131.921618562,0.00195274199359
1.0,0.999420940876,0.000284834823105,131.942052998,0.00195357832126
1.0,0.999544918537,0.000284805690171,131.962487434,0.0019544144161
1.0,0.999786198139,0.000284802808892,131.98292187,0.00195525027812
1.0,0.999420940876,0.000284801295493,132.003356306,0.00195608614013
1.0,0.999726772308,0.000284847890725,132.023790642,0.00195692176931
1.0,0.999217331409,0.000284870387986,132.044225177,0.00195775739849
1.0,0.999811410904,0.000284841138637,132.064659613,0.00195859279484
1.0,0.999055564404,0.000284832203761,132.085093948,0.00195942795835
1.0,0.999328613281,0.000284854642814,132.105528383,0.00196026312187
1.0,0.99976849556,0.000284886016743,132.125962918,0.00196109805256
1.0,0.99929779768,0.00028481343179,132.146397253,0.00196193298325
1.0,0.999465107918,0.000284782901872,132.166831688,0.00196276768111
1.0,0.999814927578,0.00028482725611,132.187266222,0.00196360237896
1.0,0.999462604523,0.000284844893031,132.207700657,0.00196443661116
1.0,0.999384462833,0.000284833949991,132.228134991,0.00196527107619
1.0,0.999757826328,0.000284863257548,132.248569425,0.00196610507555
1.0,0.999934494495,0.000284904643195,132.269003959,0.00196693930775
1.0,0.999741792679,0.000284836773062,132.289438293,0.00196777307428
1.0,0.99998241663,0.000284936133539,132.309872727,0.00196860684082
1.0,0.99999320507,0.000284917565295,132.33030726,0.00196944037452
1.0,0.999055743217,0.000284824112896,132.350741594,0.00197027390823
1.0,0.999269366264,0.000284865032881,132.371176027,0.0019711072091
